2025-08-15T06:12:00.767790 | [NEWS] Lancement boucle d'analyse des news…
2025-08-15T06:12:38.169193 | [NEWS] Aucun élément à analyser dans news_data, skip boucle
2025-08-15T06:21:02.073523 | [MARKET ANALYSIS] Régime détecté: Range/Scalping | Volatilité: 0.0722 | Tendance: 0.0005
2025-08-15T06:21:02.073972 | 🔈 Régime de marché détecté: Range/Scalping
2025-08-15T06:24:04.322354 | Démarrage cycle trading
2025-08-15T06:42:03.566388 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.15 | Score: 0.1488 | Tech: -0.00 | AI: 0.15
2025-08-15T06:42:03.691528 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.07 | Score: 0.0732 | Tech: -0.00 | AI: 0.15
2025-08-15T06:42:03.815620 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.14 | Score: -0.1377 | Tech: -0.01 | AI: 0.15
2025-08-15T06:42:03.939802 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.27 | Score: -0.2736 | Tech: -0.00 | AI: 0.15
2025-08-15T06:42:04.062852 | [TRADE-DECISION] BTCUSDC | Action: NEUTRAL | Confiance: 0.22 | Score: 0.2170 | Tech: 0.13 | AI: 0.15
2025-08-15T06:42:04.186686 | [TRADE-DECISION] ETHUSDC | Action: NEUTRAL | Confiance: 0.17 | Score: 0.1750 | Tech: 0.01 | AI: 0.15
2025-08-15T06:42:04.311771 | [TRADE-DECISION] ETHUSDC | Action: NEUTRAL | Confiance: 0.08 | Score: 0.0843 | Tech: 0.01 | AI: 0.15
2025-08-15T06:42:04.436225 | [TRADE-DECISION] ETHUSDC | Action: NEUTRAL | Confiance: 0.14 | Score: 0.1412 | Tech: 0.01 | AI: 0.15
2025-08-15T06:42:04.559668 | [TRADE-DECISION] ETHUSDC | Action: NEUTRAL | Confiance: 0.07 | Score: -0.0694 | Tech: 0.03 | AI: 0.15
2025-08-15T06:42:04.680278 | [TRADE-DECISION] ETHUSDC | Action: NEUTRAL | Confiance: 0.15 | Score: 0.1521 | Tech: 0.15 | AI: 0.15
2025-08-15T06:42:04.800285 | [TRADE-DECISION] ETHUSDC | Action: BUY | Confiance: 0.33 | Score: 0.3295 | Tech: 0.47 | AI: 0.15
